02:16:12.700815 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.701686 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.702558 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.703431 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.704303 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.705196 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.706046 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.706922 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.707791 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.708662 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.709534 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.710407 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.711279 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.712150 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.713023 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.713895 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.714767 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.715638 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.716510 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.717388 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
02:16:12.718251 IP planetlab1.ecs.vuw.ac.nz.57196 > 198.188.2.10.33333: UDP, length 1024
