PType,PID,Timestamp,FrameNumber
H,0,3293.461,1
H,0,3297.563,2
H,0,3302.075,3
H,0,3306.18,4
H,0,3310.69,5
H,0,3314.793,6
H,0,3319.306,7
H,0,3323.415,8
H,0,3327.923,9
H,0,3332.028,10
H,0,3336.539,11
H,0,3340.644,12
H,0,3345.156,13
H,0,3349.26,14
H,0,3353.773,15
H,0,3357.876,16
H,0,3362.388,17
H,0,3366.495,18
H,0,3370.595,19
H,0,3375.107,20
H,0,3379.212,21
H,0,3383.725,22
H,0,3387.828,23
H,0,3392.339,24
H,0,3396.444,25
H,0,3400.955,26
H,0,3405.058,27
H,0,3409.571,28
H,0,3413.678,29
H,0,3418.188,30
H,0,3422.291,31
H,0,3426.804,32
H,0,3430.907,33
H,0,3435.012,34
H,0,3439.524,35
H,0,3443.63,36
H,0,3448.141,37
H,0,3452.243,38
H,0,3456.756,39
H,0,3460.86,40
H,0,3465.372,41
H,0,3469.476,42
H,0,3473.989,43
H,0,3478.093,44
H,0,3482.606,45
H,0,3486.708,46
H,0,3491.219,47
H,0,3495.327,48
H,0,3499.429,49
H,0,3503.941,50
H,0,3508.045,51
H,0,3512.558,52
H,0,3516.66,53
H,0,3521.171,54
H,0,3525.277,55
H,0,3529.789,56
H,0,3533.895,57
H,0,3538.405,58
H,0,3542.508,59
H,0,3547.021,60
H,0,3551.127,61
H,0,3555.638,62
H,0,3559.743,63
H,0,3563.845,64
H,0,3568.358,65
H,0,3572.461,66
H,0,3576.974,67
H,0,3581.081,68
H,0,3585.591,69
H,0,3589.694,70
H,0,3594.206,71
H,0,3598.309,72
H,0,3602.822,73
H,0,3606.926,74
H,0,3611.407,75
H,0,3615.543,76
H,0,3620.055,77
H,0,3624.159,78
H,0,3628.669,79
H,0,3632.774,80
H,0,3636.879,81
H,0,3641.39,82
H,0,3645.494,83
H,0,3650.007,84
H,0,3654.11,85
H,0,3658.622,86
H,0,3662.727,87
H,0,3667.24,88
H,0,3671.342,89
H,0,3675.855,90
H,0,3679.959,91
H,0,3684.47,92
H,0,3688.574,93
H,0,3693.086,94
H,0,3697.191,95
H,0,3701.298,96
H,0,3705.807,97
H,0,3709.911,98
H,0,3714.423,99
H,0,3718.528,100
H,0,3723.039,101
H,0,3727.145,102
H,0,3731.655,103
H,0,3735.758,104
H,0,3740.272,105
H,0,3744.38,106
H,0,3748.888,107
H,0,3752.993,108
H,0,3757.503,109
H,0,3761.608,110
H,0,3765.711,111
H,0,3770.223,112
H,0,3774.327,113
H,0,3778.84,114
H,0,3782.945,115
