separationLength,LowPriority,HighPriority
1,100.0,50.0
2,90.0,45.0
3,100.0,50.0
4,100.0,50.0
5,100.0,50.0
6,90.0,45.0
7,100.0,50.0
8,90.0,45.0
9,100.0,50.0
10,90.0,45.0
50,90.0,45.0
60,89.9,44.95
70,90.0,45.0
80,89.9,44.95
90,89.8,44.9
100,89.8,44.9
