separationLength,LowPriority,HighPriority
1,100.0,50.0
2,50.0,25.0
3,100.0,50.0
4,50.0,25.0
5,100.0,50.0
6,50.0,25.0
7,100.0,50.0
8,50.0,25.0
9,100.0,50.0
10,50.0,25.0
50,50.0,25.0
60,50.0,25.0
70,50.0,25.0
80,50.0,25.0
90,50.0,25.0
100,50.0,25.0
