Speed,LowPriority,HighPriority
1,99.0,49.5
2,98.0,49.0
3,97.0,48.5
4,96.0,48.0
5,95.0,47.5
6,94.0,47.0
7,93.0,46.55
8,92.0,46.0
9,91.0,45.5
10,90.0,45.0
20,80.0,40.0
25,75.0,37.5
30,70.0,35.0
35,64.90,32.45
40,60.0,30.0
45,55.0,27.5
50,50.0,25.0
100,0.0,0.0
