Priority,lossrate
1,98.0
2,96.0
3,94.0
4,92.0
5,90.0
6,88.0
7,86.0
8,84.0
9,81.9
10,80.0
20,60.0
25,50.0
30,40.0
35,29.9
40,20.0
45,10.1
50,0.0
100,0.0
