18:28:32.307058 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.311164 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.315671 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.319776 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.324289 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.328391 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.332905 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.337007 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.341518 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.345624 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.350136 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.354240 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.358753 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.362856 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.367367 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.371470 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.375984 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.380088 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.384192 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.388704 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.392808 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.397325 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.401425 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.405936 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.410041 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.414551 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.418656 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.423168 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.427272 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.431784 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
